,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
217,2.0,1.0,1.983724666549496,1.578506559510144,1.0,1.0,0.05,0.99,200.0
218,2.0,1.0,1.0601681617160883,0.8309067299582054,1.0,2.0,0.05,0.97,200.0
219,2.0,1.0,1.2763212067259273,1.002914156546531,1.0,2.0,0.05,0.99,200.0
220,2.0,1.0,0.9079624091452327,0.7074087248199424,1.0,3.0,0.05,0.97,200.0
221,2.0,1.0,1.0532847784572932,0.8247202325164228,1.0,3.0,0.05,0.99,200.0
222,2.0,1.0,1.7137674870480957,1.355025426991906,2.0,1.0,0.05,0.97,200.0
223,2.0,1.0,1.7197273273412779,1.357103889048606,2.0,1.0,0.05,0.99,200.0
224,2.0,1.0,1.0794150270596052,0.8412507420640796,2.0,2.0,0.05,0.97,200.0
225,2.0,1.0,1.1876350154826125,0.9243580531510214,2.0,2.0,0.05,0.99,200.0
226,2.0,1.0,0.9343594856185241,0.7253349062301991,2.0,3.0,0.05,0.97,200.0
227,2.0,1.0,0.9855920596196489,0.7604375660570217,2.0,3.0,0.05,0.99,200.0
228,2.0,1.0,1.7013433373654343,1.3507561649674074,3.0,1.0,0.05,0.97,200.0
229,2.0,1.0,1.3498547292933811,1.0656286405311695,3.0,1.0,0.05,0.99,200.0
230,2.0,1.0,1.0737113064625576,0.8406424371444078,3.0,2.0,0.05,0.97,200.0
231,2.0,1.0,1.0337125660898647,0.8093080290548335,3.0,2.0,0.05,0.99,200.0
232,2.0,1.0,0.9382440218379161,0.724253521043758,3.0,3.0,0.05,0.97,200.0
233,2.0,1.0,0.9059052296972717,0.6965141478317948,3.0,3.0,0.05,0.99,200.0
234,2.0,1.0,1.1600813916185253,0.9199200366584702,1.0,1.0,0.1,0.97,200.0
235,2.0,1.0,1.391522279075119,1.104170960818958,1.0,1.0,0.1,0.99,200.0
236,2.0,1.0,0.8100951801480306,0.637790047664556,1.0,2.0,0.1,0.97,200.0
237,2.0,1.0,0.8463937976374395,0.6648870589038308,1.0,2.0,0.1,0.99,200.0
238,2.0,1.0,0.7992161312869186,0.6229894332337599,1.0,3.0,0.1,0.97,200.0
239,2.0,1.0,0.8059287874353372,0.6260424457216218,1.0,3.0,0.1,0.99,200.0
240,2.0,1.0,1.1259160967678972,0.8926736721929343,2.0,1.0,0.1,0.97,200.0
241,2.0,1.0,1.1396126854393689,0.8992505223273917,2.0,1.0,0.1,0.99,200.0
