,seed,method,d,v,target_tree_size,rmse,mae
63,5,xgboost_naive_transfer,1,0.05,4,1.3654285229014236,1.1625349481113572
64,5,xgboost,1,0.05,5,2.2162463668804335,1.7898848586270897
65,5,xgboost_naive_transfer,1,0.05,5,1.390680942390187,1.1778878176989334
66,5,xgboost,1,0.05,6,2.3139054721788708,1.8718182738107576
67,5,xgboost_naive_transfer,1,0.05,6,1.4107873633634196,1.191595601410872
68,5,xgboost,1,0.05,7,2.4597859027258817,1.9868221459583135
69,5,xgboost_naive_transfer,1,0.05,7,1.4211311291114157,1.204255451200011
70,5,xgboost,1,0.08,1,1.5096448428722227,1.2197452393981318
71,5,xgboost_naive_transfer,1,0.08,1,1.5004562552495833,1.2570965063930526
72,5,xgboost,1,0.08,2,1.7338758651806734,1.4022243104832655
73,5,xgboost_naive_transfer,1,0.08,2,1.3473872652930854,1.157859019027037
74,5,xgboost,1,0.08,3,1.9718308818628685,1.6119848449360838
75,5,xgboost_naive_transfer,1,0.08,3,1.3502731729415636,1.1501744061160608
76,5,xgboost,1,0.08,4,2.103732875627287,1.694457357537941
77,5,xgboost_naive_transfer,1,0.08,4,1.3691957293499437,1.1698352854720129
78,5,xgboost,1,0.08,5,2.1997218700377443,1.7747981953393326
79,5,xgboost_naive_transfer,1,0.08,5,1.3954916157360981,1.1888990463153464
80,5,xgboost,1,0.08,6,2.2904582274056504,1.84177042215667
81,5,xgboost_naive_transfer,1,0.08,6,1.4301985850605397,1.2056754480747531
82,5,xgboost,1,0.08,7,2.4365095511946504,1.9623566939992096
83,5,xgboost_naive_transfer,1,0.08,7,1.4367295794674877,1.2077824981311056
84,5,xgboost,1,0.1,1,1.5029968137573921,1.2133055996811297
85,5,xgboost_naive_transfer,1,0.1,1,1.498398976461509,1.258027995516473
86,5,xgboost,1,0.1,2,1.73120085962146,1.398111214177827
87,5,xgboost_naive_transfer,1,0.1,2,1.3523638610265636,1.1654180036726325
88,5,xgboost,1,0.1,3,1.945365389269311,1.589854830971683
89,5,xgboost_naive_transfer,1,0.1,3,1.3529764694903685,1.162485838643534
